Nombre_Actor,Año_nacimiento,Premios,Qué_hace,Conocido_por
Erin Ownbey,No info,3 nominaciones,Reparto,"Ozark, Echo, Panhandle"
Douglas Booth,9 de julio de 1992,7 premios y 1 nominación,"Reparto, Guion, Producción","Orgullo + Prejuicio + Zombis, LOL, El destino de Júpiter"
Resham Firiri,No info,No info,Reparto,No info
Surendra K.C.,No info,No info,Reparto,"Jadugar 2, Jai Bhole, Meri Bassai"
Simpal Kharel,No info,No info,Reparto,No info
Antonio Jesús Lorenzo 'Cachín',No info,No info,Reparto,"A encrucillada, Instrucciones para empezar a hablar gallego, Medos"
José Ramón Villarino,No info,No info,Reparto,No info
Rocío Fernández Insua,No info,No info,Reparto,No info
Beatie Edney,23 de octubre de 1962,No info,"Reparto, Dirección, Guion","Los inmortales, En el nombre del padre, Un gran día para ellas"
Dimitri Gripari,No info,No info,Reparto,No info
Gabriella Moran,No info,No info,"Reparto, Guion","NYET! - a Brexit UK Border Farce, Acts of Passion, A Winter's Journey"
Mille Dinesen,No info,2 premios y 7 nominaciones,Reparto,"Rita, Simon & Malou, Nynne"
Lærke Winther,23 de septiembre de 1975,2 nominaciones,"Reparto, Guion, Guion y continuidad","Flame y Citrón, Those Who Kill, Album"
Stephania Potalivo,No info,2 premios y 2 nominaciones,"Reparto, Vestuario, Banda sonora","Sjit Happens, Lykkefanten, Albert"
Olu Adaeze,No info,11 premios,"Reparto, Cámara y electricidad","Guilty Bunch of Flowers, Emmerdale, Sandman"
Eleanor Burke,No info,53 premios y 2 nominaciones,Reparto,"Emotional Distress, Guilty Bunch of Flowers, A Date with Shillelagh"
Kenny Davies,No info,14 premios,Reparto,No info
Orçun Kaptan,No info,No info,Reparto,"Pardon, Emret Komutanim: Sah Mat, Sifir: Etkisiz Eleman"
Birgül Ulusoy,No info,No info,Reparto,"Firuze, Yalanci Yarim, Sebeke"
Ali Riza Tanyeli,No info,No info,Reparto,"Zaman Makinesi 1973, Agir Romantik, Pelesenk Ailesi"
Mary Nepi,No info,No info,Reparto,"Snatchers, Not Cool, Snatchers"
Gabrielle Elyse,19 de noviembre de 1996,1 nominación,Reparto,"Nicky, Ricky, Dicky y Dawn, Snatchers, Los Thundermans"
J.J. Nolan,2 de octubre,4 premios y 1 nominación,"Reparto, Producción, Dirección de arte","Pretty Problems, Snatchers, Chicago Med"
Quenn Partin,No info,No info,Reparto,No info
Jess Taylor,No info,No info,"Producción, Dirección, Edición","Quiet Hours Enforced, Satisfaction, Anxiety"
Adil Zubair,No info,No info,"Reparto, Dirección, Guion","Pasta, Jay and Anna, Tribe"
Danielle Leaf,No info,No info,"Equipos adicionales, Reparto, Transporte","People You Know, The Closer, Based on a True Story"
Topher Naylor,No info,No info,Reparto,No info
Chris Mollica,17 de enero de 1981,7 premios y 4 nominaciones,"Reparto, Edición, Guion","Family Obligations, Sofa King, The Mix"
Chandler Rosenthal,No info,2 premios,Reparto,"Unbreakable Kimmy Schmidt: Kimmy contra el reverendo, Family Obligations, Sofa King"
Frank Failla,No info,2 premios,Reparto,"Family Obligations, It's Love, Bro, My Sister's Wedding"
Tsai Chin,1 de septiembre de 1933,1 premio y 2 nominaciones,"Reparto, Música, Banda sonora","Memorias de una geisha, Shang-Chi y la leyenda de los diez anillos, Sólo se vive dos veces"
