Nombre_Pelicula,Director,Puntuación,Guionistas,Argumento,Duración
Bat Country,Zane Hampton,No info,Zane Hampton,"In a world where monsters have completely replaced humans, a lone vampire goes out for a drive. Fueled by blood energy drinks and cigarettes he flies down a dark road and hits a walking zombie. Conflicted with owning up to a serious zombie rights violation, he has to choose whether to take his punishment for this crime by turning himself in - or do something even more... Read all",3m
An Apple a Day,Evan Snyder,No info,Evan Snyder,Ezra helps his cousin Tom achieve his dream of becoming a world-class poet.,6m
Kauneusleikkaus,Eetu Pennanen,No info,Eetu Pennanen,A twisted killer wears the faces of her victims in a desperate search for outer beauty.,6m
Toc Toc,No info,No info,Eetu Pennanen,,No info
Riktha,Amruth Kumar,5.2,"Vagdevi Advika, Madesh Neenasam, Ramya Varshini",The ghost of a young boy sees an actress who resembles the girl he was in love with. Will the girl realise his presence around her?,1h 51m
Gui ding can,Samm Chan,No info,Samm Chan,,1h 13m
Prey,Patrick Rozenfeld,No info,Patrick Rozenfeld,"A Serial Killer hunts after prostitutes, not knowing that one of his victims has a terrifying secret.",No info
Hauntsville,K.C. AmosDale Stelly,6.4,"K.C. Amos, Dale Stelly",Hauntsville is a horror film about a husband and his family moving across the mid-west into a decent priced home to start a new job. The real estate agent did not inform the family on the past gruesome history of the home. The past residents unfortunately have been murdered inside the home and their spirits still lurks the premises long after their demise. The ghosts ... Read all,No info
The Belko Experiment,Greg McLean,6.2,James Gunn,"In a twisted social experiment, eighty Americans are locked in their high-rise corporate office in Bogotá, Colombia, and ordered by an unknown voice coming from the company's intercom system to participate in a deadly game of kill or be killed.",1h 29m
Pulse,Ayda Kani,No info,Kaveh Ahangar,,No info
Pequeña Lilith,Gerardo Leos Soria,No info,"Bernardo Govea, Gerardo Leos Soria, Iker Compeán Leroux",,17m
Pumpkin Spice,Brennan Gassek,No info,Joshua Patrick Dudley,,No info
Preacher's Little Secret,Denny Shoopman,No info,Rod Smith,,No info
Silent Paint,No info,No info,Rod Smith,,7m
Activitate Paranormala in Europa de Est,Florin Calin,No info,"Flavius Iordaiche, Raul Hamza, Florin Calin","Silviu and Alexandra want to spent their summer holidays away from the big city, in their favorite personal family cabin. The last thing they suspect is having someone watching them during their usual night sleep.",1h 30m
The Yearning,A.P. Boland,No info,"A.P. Boland, Michael Greene",,4m
Return to Madison County,Jason Jenkins,No info,Jason Jenkins,,10m
Tonight You Die,No info,No info,Jason Jenkins,,No info
Jenny,Joko Anwar,6.6,Asmara Abigail,A woman gets challenged from a child to play Bloody Mary.,10m
Rooh,Rahul Chakraborty,No info,Navneet Verma,Is it really safe to sit alone in the office?,No info
Peeche Kaun Hai,Rahul Chakraborty,No info,Navneet Verma,Sometimes it is better if you do not answer a computer.,No info
Agwa,No info,No info,No info,"Few things never get over. This time, Revenge has a new face and it is scary.",No info
Pankaj,Rahul Chakraborty,No info,"Zubin Arora, Navneet Verma",Do not try to help the one who is not one of us.,No info
Covey Hill,Maxim Lecompte,No info,Maxim Lecompte,"Paul, a citizen of a suburban town, is tracking down a serial killer who terrorized his community for months.",8m
Axed (Halloween Horror),Todd Larson,7.9,Todd Larson,"Victor Le Duesbahge, a young and accomplished chef out of Cordon Bleu, meets two unlikely contestants in the battle for a grand prize of $10,000.",17m
Sakrifice,Raffaele Picchio,No info,"Lorenzo Paviano, Raffaele Picchio, Alessandro Testa",,No info
Serial,No info,No info,"Lorenzo Paviano, Raffaele Picchio, Alessandro Testa",,No info
Derelict,Leonard Nicholas Ruiz,No info,Leonard Nicholas Ruiz,,No info
16 Fight Against Ragging,Lagdhirsinh Jadeja,No info,Jaydeepsinh V Zala,The story focuses on the issue of ragging carried out by seniors during college life and the after-effects of ragging.,2h 20m
The Noise,No info,No info,Jaydeepsinh V Zala,,No info
